student_id,age,gender,state,city_tier,college_tier,branch,degree,cgpa,backlog_history
STU00001,22,Male,Karnataka,1,2,Computer Science,MCA,6.71,3
STU00002,20,Male,Tamil Nadu,2,3,AI & DS,BTech,6.14,0
STU00003,23,Female,Uttar Pradesh,3,2,Computer Science,BTech,7.11,0
STU00004,25,Male,Maharashtra,2,3,Civil,BTech,7.41,0
STU00005,25,Female,West Bengal,3,3,Civil,BE,8.29,0
STU00006,24,Male,Uttar Pradesh,3,3,Electronics,BE,6.9,0
STU00007,20,Female,Karnataka,2,3,Computer Science,BE,7.66,3
STU00008,24,Female,Gujarat,2,3,Computer Science,MCA,5.98,0
STU00009,20,Male,Karnataka,2,3,Civil,BE,6.7,0
STU00010,23,Male,Delhi,3,3,AI & DS,BTech,6.99,0
STU00011,21,Male,Karnataka,2,2,Information Technology,BTech,7.47,0
STU00012,24,Male,Telangana,1,3,Information Technology,BE,6.64,2
STU00013,20,Male,Gujarat,2,2,AI & DS,MCA,8.31,0
STU00014,22,Male,Tamil Nadu,3,3,Civil,MCA,6.22,2
STU00015,23,Female,Uttar Pradesh,1,1,Electronics,MCA,9.9,1
STU00016,22,Male,Telangana,3,3,Computer Science,BTech,7.15,1
STU00017,24,Male,Gujarat,3,3,Computer Science,BTech,7.77,0
STU00018,25,Female,West Bengal,3,3,Mechanical,MCA,6.26,0
STU00019,25,Female,Tamil Nadu,1,1,Information Technology,MCA,8.83,2
STU00020,23,Female,Uttar Pradesh,1,3,Civil,BE,8.18,0
STU00021,24,Male,West Bengal,2,1,Computer Science,BTech,8.25,1
STU00022,20,Male,Tamil Nadu,3,3,AI & DS,BE,7.1,0
STU00023,22,Male,Uttar Pradesh,2,2,Civil,BE,8.25,2
STU00024,21,Female,Maharashtra,2,3,AI & DS,MCA,6.84,0
STU00025,23,Male,Telangana,2,2,Computer Science,BE,9.39,1
STU00026,24,Male,Maharashtra,3,3,AI & DS,MCA,8.31,0
STU00027,23,Female,Karnataka,3,2,AI & DS,BE,7.22,0
STU00028,25,Male,Telangana,2,3,Information Technology,MCA,6.44,0
STU00029,22,Female,Telangana,2,2,Mechanical,BTech,8.34,1
STU00030,22,Male,Delhi,2,3,Computer Science,BTech,6.99,0
STU00031,23,Male,West Bengal,2,2,Computer Science,MCA,6.56,0
STU00032,22,Female,West Bengal,2,2,Civil,BTech,6.36,0
STU00033,20,Male,Delhi,1,3,AI & DS,BE,5.85,0
STU00034,24,Male,West Bengal,2,1,Computer Science,BTech,6.65,1
STU00035,25,Female,Maharashtra,1,3,Civil,MCA,7.39,0
STU00036,21,Male,Karnataka,2,3,AI & DS,MCA,7.71,1
STU00037,23,Female,Maharashtra,2,3,Electronics,BTech,5.73,0
STU00038,21,Male,West Bengal,3,3,Information Technology,MCA,7.11,3
STU00039,23,Female,West Bengal,2,3,Mechanical,BTech,7.9,0
STU00040,25,Other,Uttar Pradesh,3,2,Electronics,BE,6.39,2
STU00041,23,Male,Maharashtra,3,3,AI & DS,MCA,9.09,0
STU00042,24,Female,Uttar Pradesh,2,3,AI & DS,BE,7.6,0
STU00043,23,Male,Delhi,2,3,Civil,BE,6.97,0
STU00044,22,Male,Gujarat,2,3,Mechanical,BTech,6.14,1
STU00045,24,Male,Karnataka,2,2,Computer Science,MCA,7.42,0
STU00046,22,Male,Delhi,3,3,Information Technology,BE,7.64,0
STU00047,24,Female,Uttar Pradesh,3,2,Computer Science,BTech,7.69,0
STU00048,20,Female,Gujarat,2,3,Mechanical,BE,7.26,3
STU00049,25,Female,Delhi,2,3,Electronics,BTech,7.53,1
STU00050,20,Female,Telangana,3,3,Computer Science,BTech,6.91,1
STU00051,24,Male,Tamil Nadu,2,2,Computer Science,MCA,7.94,0
STU00052,20,Male,Karnataka,1,3,AI & DS,BTech,6.25,0
STU00053,24,Female,Delhi,2,2,Civil,MCA,9.74,0
STU00054,24,Male,Telangana,3,1,Electronics,BTech,8.09,0
STU00055,23,Female,Gujarat,3,3,Mechanical,BTech,7.71,2
STU00056,25,Female,Telangana,3,3,Computer Science,BTech,7.02,0
STU00057,21,Female,Delhi,3,1,Civil,BE,7.34,0
STU00058,20,Male,Delhi,3,3,Electronics,BE,5.95,0
STU00059,21,Female,Gujarat,3,1,Civil,MCA,8.44,0
STU00060,25,Male,Gujarat,3,2,AI & DS,BTech,7.34,1
STU00061,23,Male,Karnataka,3,3,AI & DS,MCA,7.48,0
